ORDER_MBF,FAMILY_MBF,Genus_MBF,Species_MBF,ORDER_HM,FAMILY_HM,Genus_HM,species_HM,subspecies_HM
Struthioniformes,Struthionidae,Struthio,camelus,Struthioniformes,Struthionidae,Struthio,camelus,
Struthioniformes,Struthionidae,Struthio,camelus,Struthioniformes,Struthionidae,Struthio,molybdophanes,
Rheiformes,Rheidae,Rhea,americana,Rheiformes,Rheidae,Rhea,americana,
Rheiformes,Rheidae,Pterocnemia,pennata,Rheiformes,Rheidae,Rhea,pennata,
Casuariiformes,Casuariidae,Casuarius,casuarius,Casuariiformes,Casuariidae,Casuarius,casuarius,
Casuariiformes,Casuariidae,Casuarius,bennetti,Casuariiformes,Casuariidae,Casuarius,bennetti,
Casuariiformes,Casuariidae,Casuarius,unappendiculatus,Casuariiformes,Casuariidae,Casuarius,unappendiculatus,
Casuariiformes,Dromaiidae,Dromaius,novaehollandiae,Casuariiformes,Casuariidae,Dromaius,novaehollandiae,
Casuariiformes,Dromaiidae,Dromaius,,Casuariiformes,Casuariidae,Dromaius,minor,
Casuariiformes,Dromaiidae,Dromaius,,Casuariiformes,Casuariidae,Dromaius,baudinianus,
Apterygiformes,Apterygidae,Apteryx,australis,Apterygiformes,Apterygidae,Apteryx,mantelli,
Apterygiformes,Apterygidae,Apteryx,australis,Apterygiformes,Apterygidae,Apteryx,australis,
Apterygiformes,Apterygidae,Apteryx,australis,Apterygiformes,Apterygidae,Apteryx,rowi,
Apterygiformes,Apterygidae,Apteryx,owenii,Apterygiformes,Apterygidae,Apteryx,owenii,
Apterygiformes,Apterygidae,Apteryx,haastii,Apterygiformes,Apterygidae,Apteryx,haastii,
Tinamiformes,Tinamidae,Tinamus,tao,Tinamiformes,Tinamidae,Tinamus,tao,
Tinamiformes,Tinamidae,Tinamus,solitarius,Tinamiformes,Tinamidae,Tinamus,solitarius,
Tinamiformes,Tinamidae,Tinamus,osgoodi,Tinamiformes,Tinamidae,Tinamus,osgoodi,
Tinamiformes,Tinamidae,Tinamus,major,Tinamiformes,Tinamidae,Tinamus,major,
Tinamiformes,Tinamidae,Tinamus,guttatus,Tinamiformes,Tinamidae,Tinamus,guttatus,
Tinamiformes,Tinamidae,Nothocercus,bonapartei,Tinamiformes,Tinamidae,Nothocercus,bonapartei,
Tinamiformes,Tinamidae,Nothocercus,julei,Tinamiformes,Tinamidae,Nothocercus,julius,
Tinamiformes,Tinamidae,Nothocercus,nigrocapillus,Tinamiformes,Tinamidae,Nothocercus,nigrocapillus,
Tinamiformes,Tinamidae,Crypturellus,cinereus,Tinamiformes,Tinamidae,Crypturellus,berlepschi,
Tinamiformes,Tinamidae,Crypturellus,cinereus,Tinamiformes,Tinamidae,Crypturellus,cinereus,
Tinamiformes,Tinamidae,Crypturellus,soui,Tinamiformes,Tinamidae,Crypturellus,soui,
Tinamiformes,Tinamidae,Crypturellus,ptaritepui,Tinamiformes,Tinamidae,Crypturellus,ptaritepui,
Tinamiformes,Tinamidae,Crypturellus,obsoletus,Tinamiformes,Tinamidae,Crypturellus,obsoletus,
Tinamiformes,Tinamidae,Crypturellus,undulatus,Tinamiformes,Tinamidae,Crypturellus,undulatus,
Tinamiformes,Tinamidae,Crypturellus,brevirostris,Tinamiformes,Tinamidae,Crypturellus,brevirostris,
Tinamiformes,Tinamidae,Crypturellus,bartletti,Tinamiformes,Tinamidae,Crypturellus,bartletti,
Tinamiformes,Tinamidae,Crypturellus,variegatus,Tinamiformes,Tinamidae,Crypturellus,variegatus,
Tinamiformes,Tinamidae,Crypturellus,atrocapillus,Tinamiformes,Tinamidae,Crypturellus,atrocapillus,
