LACM,Collector,Taxon,Family,Order,Field,Sex,LAF,Age,SpecNat,Measurements,Gonads,Weight,Date,Year,Locality
120363,CALIFORNIA WILDLIFE CENTER,Sturnella neglecta : Icteridae : Passeriformes - Species,Icteridae,Passeriformes,15-3562,M,8476,,SS,,LT=1X1,106,10/27/2015,2015,LOS ANGELES : LOS ANGELES CO : CALIFORNIA : UNITED STATES : NORTH AMERICA
120040,CALIFORNIA WILDLIFE CENTER,Thryomanes bewickii correctus : Troglodytidae : Passeriformes - Subspecies,Troglodytidae,Passeriformes,14-1026,M,8152,,SN,,LT=3X2; RT=2.5X2,8.4,2/7/2014,2014,5400 BLK EDGECLIFFE CIRCLE : THOUSAND OAKS : LOS ANGELES CO : CALIFORNIA : UNITED STATES : NORTH AMERICA
120027,CALIFORNIA WILDLIFE CENTER,Pluvialis squatarola : Charadriidae : Charadriiformes - Species,Charadriidae,Charadriiformes,,M,8162,,SS,,LT=2.5X2; RT=1.5X1.5,174,1/6/2014,2014,"MALIBU LAGOON : MALIBU : LOS ANGELES CO : CALIFORNIA : UNITED STATES : NORTH AMERICA : 34 2 0.000 N, 118 39  W"
120015,CALIFORNIA WILDLIFE CENTER,Dendroica townsendi : Parulidae : Passeriformes - Species,Parulidae,Passeriformes,14-0037,M,8196,,SS,,L+R T = 1.5 X 1.5,8,1/14/2014,2014,BURBANK BLVD AT SALE AVE : WOODLAND HILLS : LOS ANGELES CO : CALIFORNIA : UNITED STATES : NORTH AMERICA
115671,CALIFORNIA WILDLIFE CENTER,Sayornis nigricans semiatra : Tyrannidae : Passeriformes - Subspecies,Tyrannidae,Passeriformes,10-0894,M,,,SN,,"L T = 7 X 4, PALE; R T = 6 X 4",16.1,4/27/2010,2010,6300 BLK COLGATE AVE : WEST LOS ANGELES : LOS ANGELES CO : CALIFORNIA : UNITED STATES : NORTH AMERICA
115281,CALIFORNIA WILDLIFE CENTER,Sayornis saya ssp : Tyrannidae : Passeriformes - Subspecies,Tyrannidae,Passeriformes,Sep-77,M,7350,,SN,C=14.4; W=108; T=18.8,L T = 1.3 X 1.0,,11/23/2009,2009,SYLMAR : LOS ANGELES CO : CALIFORNIA : UNITED STATES : NORTH AMERICA
115759,CALIFORNIA WILDLIFE CENTER,Sayornis saya ssp : Tyrannidae : Passeriformes - Subspecies,Tyrannidae,Passeriformes,11-0494,M,7623,,SS,,L + R T = 8 X 5,18,4/12/2011,2011,29400 BLK MALIBU VIEW CT : AGOURA HILLS : LOS ANGELES CO : CALIFORNIA : UNITED STATES : NORTH AMERICA
115554,CALIFORNIA WILDLIFE CENTER,Melospiza melodia cooperi : Emberizidae : Passeriformes - Subspecies,Emberizidae,Passeriformes,Sep-70,F,7465,,SN,C=10; W=61; T=20; TAIL=70,"OV = 2.5 X 1.5, SMOOTH",14,11/22/2009,2009,CAMINO COLIBRI : CALABASAS : LOS ANGELES CO : CALIFORNIA : UNITED STATES : NORTH AMERICA
111500,CALIFORNIA WILDLIFE CENTER,Pheucticus melanocephalus maculatus : Emberizidae : Passeriformes - Subspecies,Emberizidae,Passeriformes,,F,,,SN,C=15.7; W=98.5; T=23.6; TAIL=77.5,"OV= 3.5 X 2, VERY SMOOTH",28,9/18/2000,2000,"POINT DUME : MALIBU : LOS ANGELES CO : CALIFORNIA : UNITED STATES : NORTH AMERICA : 34 2 5.054 N, 118 44 7.540 W"
111497,CALIFORNIA WILDLIFE CENTER,Pheucticus melanocephalus maculatus : Emberizidae : Passeriformes - Subspecies,Emberizidae,Passeriformes,,F,,,SN,C=19.3; W=95; T=22.1; TAIL MISSING,"OV= 3 X 2, VERY SMOOTH",39.4,10/2/2000,2000,"2100 BLOCK LA MESA DR : SANTA MONICA : LOS ANGELES CO : CALIFORNIA : UNITED STATES : NORTH AMERICA : 34 0 30.638 N, 118 29 54.287 W"
