,Var1,Freq,,,Species,Freq
1,acorn woodpecker,4,,,acorn woodpecker,4
2,allen's hummingbird,24,,,allen's hummingbird,26
3,allens humminbird,2,,,american crow,10
4,american crow,10,,,american kestrel,2
5,american kestrel,2,,,american robin,5
6,american robin,5,,,anna's hummingbird,5
7,anna's hummingbird,5,,,band-tailed pigeon,7
8,band-tailed pigeon,6,,,barn owl,2
9,barn owl,2,,,belted kingfisher,1
10,belted kingfisher,1,,,bewick's wren,8
11,bewick's wren,8,,,black-crowned night-heron,1
12,black-crowned night-heron,1,,,black-headed grosbeak,3
13,black-headed grosbeak,3,,,black phoebe,3
14,black phoebe,3,,,brant's cormorant,1
15,brant's cormorant,1,,,bullock's oriole,1
16,bt pigeon,1,,,burrowing owl,2
17,bullock's oriole,1,,,bushtit,1
18,burrowing owl,2,,,california quail,1
19,bushtit,1,,,california scrub-jay,3
20,california quail,1,,,california towhee,12
21,california scrub-jay,3,,,caspian tern,1
22,california towhee,12,,,cassin's kingbird,1
23,caspian tern,1,,,cedar waxwing,1
24,cassin's kingbird,1,,,common poorwill,1
25,cedar waxwing,1,,,common raven,4
26,common poorwill,1,,,cooper's hawk,12
27,common raven,4,,,dark-eyed junco,3
28,cooper's hawk,12,,,downy woodpecker,1
29,dark-eyed junco,3,,,eurasian collared dove,1
30,downy woodpecker,1,,,gambel's quail,1
31,eurasian collared dove,1,,,great-horned owl,7
32,gambel's quail,1,,,great egret,1
33,great-horned owl,3,,,guadalupe murrelet,1
34,great egret,1,,,hermit thrush,5
35,great horned owl,4,,,hooded oriole,2
36,guadalupe murrelet,1,,,horned lark,1
37,hermit thrush,5,,,house finch,16
38,hooded oriole,2,,,house sparrow,4
39,horned lark,1,,,house wren,1
40,house finch,16,,,hummingbird sp,1
41,house sparrow,4,,,least storm-petrel,1
42,house wren,1,,,lesser goldfinch,6
43,hummingbird sp,1,,,mountain chickadee,1
44,island scrub-jay,3,,,mourning dove,12
45,least storm-petrel,1,,,northern flicker,2
46,lesser goldfinch,6,,,northern fulmar,1
47,mountain chickadee,1,,,northern mockingbird,1
48,mourning dove,12,,,nuttall's woodpecker,3
49,northern flicker,2,,,oak titmouse,1
50,northern fulmar,1,,,orange-crowned warbler,7
51,northern mockingbird,1,,,peregrine falcon,1
52,nuttall's woodpecker,3,,,pigeon guillemot,1
53,oak titmouse,1,,,red-breasted nuthatch,1
54,orange-crowned warbler,7,,,red-necked phalarope,1
55,peregrine falcon,1,,,red-shouldered hawk,5
56,pigeon guillemot,1,,,red-tailed hawk,8
57,red-breasted nuthatch,1,,,rose-breasted grosbeak,1
58,red-necked phalarope,1,,,ruby-crowned kinglet,2
59,red-shouldered hawk,5,,,say's phoebe,1
60,red-tailed hawk,8,,,scaly-breasted munia,9
61,rose-breasted grosbeak,1,,,sharp-shinned hawk,1
62,ruby-crowned kinglet,2,,,sooty shearwater,1
63,say's phoebe,1,,,sora,2
64,scaly-breasted munia,9,,,spotted towhee,3
65,sharp-shinned hawk,1,,,swainson's thrush,5
66,sooty shearwater,1,,,swinhoe's white-eye,1
67,sora,2,,,townsend's solitaire,1
68,spotted towhee,3,,,townsend's warbler,2
69,swainson's thrush,5,,,virginia rail,1
70,swinhoe's white-eye,1,,,warbling vireo,1
71,townsend's solitaire,1,,,western bluebird,1
72,townsend's warbler,2,,,western grebe,1
73,virginia rail,1,,,western gull,4
74,warbling vireo,1,,,western meadowlark,1
75,western bluebird,1,,,western screech owl,2
76,western grebe,1,,,western tanager,2
77,western gull,4,,,white-cheeked turaco,1
78,western meadowlark,1,,,white-crowned sparrow,8
79,western screech owl,2,,,white-throated swift,3
80,western tanager,2,,,willow flycatcher,1
81,white-cheeked turaco,1,,,wilson's warbler,3
82,white-crowned sparrow,8,,,wrentit,2
83,white-throated swift,2,,,yellow-rumped warbler,2
84,white throated swift,1,,,,
85,willow flycatcher,1,,,,
86,wilson's warbler,3,,,,
87,wrentit,2,,,,
88,yellow-rumped warbler,2,,,,
