order,family,emu_genus,emu_species,emu_subspecies,fullname,new_fullname
Falconiformes,Accipitridae,Accipiter,novaehollandiae,cooktowni,Accipiter novaehollandiae cooktowni,Accipiter novaehollandiae
Falconiformes,Accipitridae,Accipiter,novaehollandiae,leucosomas,Accipiter novaehollandiae leucosomas,Accipiter hiogaster
Falconiformes,Accipitridae,Aquila,rapax,nipalensis,Aquila rapax nipalensis,Aquila nipalensis nipalensis
Falconiformes,Accipitridae,Aquila,sp,NA,Aquila sp NA,Aquila sp
Falconiformes,Accipitridae,Aviceda,cuculoides,verreauxi,Aviceda cuculoides verreauxi,Aviceda cuculoides verreauxii
Falconiformes,Accipitridae,Aviceda,leuphotes,burmana,Aviceda leuphotes burmana,Aviceda leuphotes leuphotes
Falconiformes,Accipitridae,Aviceda,subcristata,bismarkii,Aviceda subcristata bismarkii,Aviceda subcristata bismarckii
Falconiformes,Accipitridae,Buteo,rufofuscus,augur,Buteo rufofuscus augur,Buteo augur augur
Falconiformes,Accipitridae,Buteo,sp,NA,Buteo sp NA,Buteo sp
Falconiformes,Accipitridae,Buteo,virginianus,pallescens,Buteo virginianus pallescens,Bubo virginianus pallescens
Falconiformes,Accipitridae,Circus,(approximans?),NA,Circus (approximans?) NA,Circus approximans
Falconiformes,Accipitridae,Elanus,caeruleus,majusculus,Elanus caeruleus majusculus,Elanus leucurus majusculus
Falconiformes,Accipitridae,Geranospiza,sp,NA,Geranospiza sp NA,Geranospiza sp
Falconiformes,Accipitridae,Haliaeetus,leucocephalus,alascanus,Haliaeetus leucocephalus alascanus,Haliaeetus leucocephalus washingtoniensis
Falconiformes,Accipitridae,Hieraaetus,fasciatus,spilogaster,Hieraaetus fasciatus spilogaster,Aquila spilogaster
Falconiformes,Accipitridae,Parabuteo,unicinctus,superior,Parabuteo unicinctus superior,Parabuteo unicinctus harrisi
Falconiformes,Accipitridae,Pernis,apivorus,apivorus,Pernis apivorus apivorus,Pernis apivorus
Falconiformes,Accipitridae,Spizaetus,cirrhatus,limnaetus,Spizaetus cirrhatus limnaetus,Nisaetus cirrhatus limnaeetus
Falconiformes,Accipitridae,Spizaetus,nipalensis,nipalensis,Spizaetus nipalensis nipalensis,Nisaetus nipalensis nipalensis
Falconiformes,Accipitridae,Torgos,tracheliotus,NA,Torgos tracheliotus NA,Torgos tracheliotos
Passeriformes,Aegithalidae,Psaltriparus,minimus,lloydi,Psaltriparus minimus lloydi,Psaltriparus minimus plumbeus
Passeriformes,Aegithalidae,Psaltriparus,minimus,providentaialis,Psaltriparus minimus providentaialis,Psaltriparus minimus plumbeus
Passeriformes,Alaudidae,Calandrella,conirostris,crypta,Calandrella conirostris crypta,Spizocorys conirostris crypta
Passeriformes,Alaudidae,Certhilauda,curvirostris,bradshawi,Certhilauda curvirostris bradshawi,Certhilauda subcoronata bradshawi
Passeriformes,Alaudidae,Galerida,theklae,elliotti,Galerida theklae elliotti,Galerida theklae ellioti
Coraciiformes,Alcedinidae,Ceryle,lugubris,continentalis,Ceryle lugubris continentalis,Megaceryle lugubris continentalis
Coraciiformes,Alcedinidae,Dacelo,novaeguineae,gigas,Dacelo novaeguineae gigas,Dacelo novaeguineae
Coraciiformes,Alcedinidae,Halcyon,chloris,chlpris,Halcyon chloris chlpris,Todiramphus chloris chloris
Coraciiformes,Alcedinidae,Halcyon,macleayii,incincta,Halcyon macleayii incincta,Todiramphus macleayii incinctus
Coraciiformes,Alcedinidae,Halcyon,malimbica,orientalis,Halcyon malimbica orientalis,Halcyon malimbica
Coraciiformes,Alcedinidae,Megaceryle,alcyon,caurina,Megaceryle alcyon caurina,Megaceryle alcyon
Charadriiformes,Alcidae,Cepphus,grylle,atlantis,Cepphus grylle atlantis,Cepphus grylle arcticus
Charadriiformes,Alcidae,Synthliboramphus,hypoleucus,hypoleucus,Synthliboramphus hypoleucus hypoleucus,Synthliboramphus hypoleucus
Charadriiformes,Alcidae,Synthliboramphus,hypoleucus,scrippsi,Synthliboramphus hypoleucus scrippsi,Synthliboramphus scrippsi
Anseriformes,Anatidae,Alopochen,aegyptiacus,NA,Alopochen aegyptiacus NA,Alopochen aegyptiaca
Anseriformes,Anatidae,Anas,NA,NA,Anas NA,Anas sp
Anseriformes,Anatidae,Anas,platyrhynchos,novimexicana,Anas platyrhynchos novimexicana,Anas diazi
Anseriformes,Anatidae,Anas,poecilorhyncha,rogersi,Anas poecilorhyncha rogersi,Anas superciliosa superciliosa
Anseriformes,Anatidae,Anas,punctata,NA,Anas punctata NA,Spatula hottentota
Anseriformes,Anatidae,Anas,smithi,NA,Anas smithi NA,Spatula smithii
Anseriformes,Anatidae,Anas,sp,NA,Anas sp NA,Anas sp
Anseriformes,Anatidae,Anser,albifrons,gambelii,Anser albifrons gambelii,Anser albifrons gambelli
Anseriformes,Anatidae,Chen,caerulescens,atlanticus,Chen caerulescens atlanticus,Anser caerulescens atlanticus
Anseriformes,Anatidae,Chen,caerulescens,caerulescens,Chen caerulescens caerulescens,Anser caerulescens caerulescens
Anseriformes,Anatidae,Chen,caerulescens,NA,Chen caerulescens NA,Anser caerulescens
Anseriformes,Anatidae,Chen,canagica,NA,Chen canagica NA,Anser canagicus
Anseriformes,Anatidae,Chen,rossii,NA,Chen rossii NA,Anser rossii
Anseriformes,Anatidae,Chendytes,lawi cf,NA,Chendytes lawi cf NA,Chendytes lawi
Anseriformes,Anatidae,Chloephaga,sp,NA,Chloephaga sp NA,Chloephaga sp
Anseriformes,Anatidae,Cygnus,cygnus,buccinator,Cygnus cygnus buccinator,Cygnus buccinator
Anseriformes,Anatidae,Cygnus,NA,NA,Cygnus NA,Cygnus sp
Anseriformes,Anatidae,Dendrocygna,autumnalis,discolor,Dendrocygna autumnalis discolor,Dendrocygna autumnalis autumnalis
Anseriformes,Anatidae,Dendrocygna,autumnalis,lucida,Dendrocygna autumnalis lucida,Dendrocygna autumnalis fulgens
Anseriformes,Anatidae,Dendrocygna,bicolor,bicolor,Dendrocygna bicolor bicolor,Dendrocygna bicolor
Anseriformes,Anatidae,Dendrocygna,bicolor,helva,Dendrocygna bicolor helva,Dendrocygna bicolor
Anseriformes,Anatidae,Merganetta,armata,columbiana,Merganetta armata columbiana,Merganetta armata colombiana
Anseriformes,Anatidae,Neochen,jubatus,NA,Neochen jubatus NA,Neochen jubata
Anseriformes,Anatidae,Sarkidiornis,melanotos,sylvatica,Sarkidiornis melanotos sylvatica,Sarkidiornis sylvicola
Anseriformes,Anhimidae,Anhima,sp,NA,Anhima sp NA,Anhima cornuta
Apodiformes,Apodidae,Aerornis,senex,NA,Aerornis senex NA,Cypseloides senex
Apodiformes,Apodidae,Chaetura,brachyura,brachycerca,Chaetura brachyura brachycerca,Chaetura brachyura brachyura
Apodiformes,Apodidae,Chaetura,cinerieventris,NA,Chaetura cinerieventris NA,Chaetura cinereiventris
Apodiformes,Apodidae,Collocalia,vanikorensis,palawanensis,Collocalia vanikorensis palawanensis,Aerodramus vanikorensis
Apodiformes,Apodidae,Cypseloides,rutilus,brunnitorques,Cypseloides rutilus brunnitorques,Streptoprocne rutila brunnitorques
Apodiformes,Apodidae,Cypseloides,rutilus,NA,Cypseloides rutilus NA,Streptoprocne rutila
Apodiformes,Apodidae,NA,NA,NA,NA NA,
Gruiformes,Aramidae,Aramus,guarauna,carau,Aramus guarauna carau,Aramus guarauna guarauna
Ciconiiformes,Ardeidae,Ardea,alba,melanorhyncha,Ardea alba melanorhyncha,Ardea alba melanorhynchos
Ciconiiformes,Ardeidae,Ardea,herodias,hyperonca,Ardea herodias hyperonca,Ardea herodias wardi
Ciconiiformes,Ardeidae,Ardea,herodias,sanctilucae,Ardea herodias sanctilucae,Ardea herodias wardi
Ciconiiformes,Ardeidae,Ardea,herodias,treganzai,Ardea herodias treganzai,Ardea herodias wardi
Ciconiiformes,Ardeidae,Butorides,striatus,amurensis,Butorides striatus amurensis,Butorides striata amurensis
Ciconiiformes,Ardeidae,Butorides,striatus,atricapillus,Butorides striatus atricapillus,Butorides striata atricapilla
Ciconiiformes,Ardeidae,Butorides,striatus,cyanurus,Butorides striatus cyanurus,Butorides striata striata
Ciconiiformes,Ardeidae,Butorides,striatus,fuscicollis,Butorides striatus fuscicollis,Butorides striata
Ciconiiformes,Ardeidae,Butorides,striatus,javanicus,Butorides striatus javanicus,Butorides striata javanica
Ciconiiformes,Ardeidae,Butorides,striatus,NA,Butorides striatus NA,Butorides striata
Ciconiiformes,Ardeidae,Butorides,striatus,striatus,Butorides striatus striatus,Butorides striata striata
Ciconiiformes,Ardeidae,Butorides,sundevalli,NA,Butorides sundevalli NA,Butorides striata striata
Ciconiiformes,Ardeidae,Egretta,sp,NA,Egretta sp NA,Ardea sp
Ciconiiformes,Ardeidae,Ixobrychus,exilis,hesperis,Ixobrychus exilis hesperis,Ixobrychus exilis exilis
Ciconiiformes,Ardeidae,Nycticorax,pileatus,NA,Nycticorax pileatus NA,Pilherodius pileatus
Ciconiiformes,Ardeidae,Syrigma,sibilitrax,NA,Syrigma sibilitrax NA,Syrigma sibilatrix
Piciformes,Bucconidae,Bucco,capensis,capensis,Bucco capensis capensis,Bucco capensis
Piciformes,Bucconidae,Hypnelus,bicinctus,bicincta,Hypnelus bicinctus bicincta,Hypnelus bicinctus bicinctus
Piciformes,Bucconidae,Malacoptila,panamensis,poliopsis,Malacoptila panamensis poliopsis,Malacoptila panamensis poliopis
Piciformes,Bucconidae,Nonnula,ruficapilla,frontalis,Nonnula ruficapilla frontalis,Nonnula frontalis frontalis
Piciformes,Bucconidae,Nonnula,ruficapilla,pallescens,Nonnula ruficapilla pallescens,Nonnula frontalis pallescens
Piciformes,Bucconidae,Notharchus,macrorhynchos,hyperrhynchus,Notharchus macrorhynchos hyperrhynchus,Notharchus hyperrhynchus hyperrhynchus
Piciformes,Bucconidae,Nystalus,radiatus,radiatus,Nystalus radiatus radiatus,Nystalus radiatus
Coraciiformes,Bucerotidae,Berenicornis,albocristatus,albocristatus,Berenicornis albocristatus albocristatus,Horizocerus albocristatus albocristatus
Coraciiformes,Bucerotidae,Buceros,sp,NA,Buceros sp NA,Buceros sp
Coraciiformes,Bucerotidae,Penelopides,panini,manillae,Penelopides panini manillae,Penelopides manillae
Coraciiformes,Bucerotidae,Tockus,nasutus,dorsalis,Tockus nasutus dorsalis,Lophoceros nasutus epirhinus
Psittaciformes,Cacatuidae,Cacatua,ducorps,NA,Cacatua ducorps NA,Cacatua ducorpsii
Psittaciformes,Cacatuidae,Cacatua,goffini,NA,Cacatua goffini NA,Cacatua goffiniana
Psittaciformes,Cacatuidae,Cacatua,leadbeateri,leadbeateri,Cacatua leadbeateri leadbeateri,Cacatua leadbeateri leadbeateri
Psittaciformes,Cacatuidae,Cacatua,leadbeateri,NA,Cacatua leadbeateri NA,Cacatua leadbeateri
Psittaciformes,Cacatuidae,Calyptorhynchus,funereus,baudinii,Calyptorhynchus funereus baudinii,Zanda baudinii
Psittaciformes,Cacatuidae,Calyptorhynchus,funereus,funereus,Calyptorhynchus funereus funereus,Zanda funerea funerea
Psittaciformes,Cacatuidae,Eolophus,roseicapillus,albiscps,Eolophus roseicapillus albiscps,Eolophus roseicapilla albiceps
Psittaciformes,Cacatuidae,Eolophus,roseicapillus,NA,Eolophus roseicapillus NA,Eolophus roseicapilla
Psittaciformes,Cacatuidae,Eolophus,roseicapillus,roseicapillus,Eolophus roseicapillus roseicapillus,Eolophus roseicapilla roseicapilla
Passeriformes,Campephagidae,Campephaga,phoenicia,flava,Campephaga phoenicia flava,Campephaga flava
