"","fullname","family","order","full_clements","IOC_seq","family_clements","order_clements"
"1","Wilsonia pusilla NA","Parulidae","Passeriformes","Cardellina pusilla NA",36122,"Parulidae","PASSERIFORMES"
"2","Tchagra cruenta hilgerti","Laniidae","Passeriformes","Rhodophoneus cruentus hilgerti",20042,"Malaconotidae","PASSERIFORMES"
"3","Tchagra australis emini","Laniidae","Passeriformes","Tchagra australis emini",20052,"Malaconotidae","PASSERIFORMES"
"4","Colius colius NA","Coliidae","Coliiformes","Colius colius NA",9795,"Coliidae","COLIIFORMES"
"5","Phaethon rubricauda melanorhynchos","Phaethontidae","Pelecaniformes","Phaethon rubricauda melanorhynchos",7274,"Phaethontidae","PHAETHONTIFORMES"
"6","Eubucco bourcierii NA","Capitonidae","Piciformes","Eubucco bourcierii NA",11104,"Capitonidae","PICIFORMES"
"7","Mino anais NA","Sturnidae","Passeriformes","Mino anais NA",29597,"Sturnidae","PASSERIFORMES"
"8","Tchagra jamesi jamesi","Laniidae","Passeriformes","Tchagra jamesi jamesi",20063,"Malaconotidae","PASSERIFORMES"
"9","Tchagra australis minor","Laniidae","Passeriformes","Tchagra australis minor",20053,"Malaconotidae","PASSERIFORMES"
"10","Lanius ludovicianus anthonyi","Laniidae","Passeriformes","Lanius ludovicianus anthonyi",22386,"Laniidae","PASSERIFORMES"
"11","Telophorus nigrifrons nigrifrons","Laniidae","Passeriformes","Telophorus nigrifrons nigrifrons",20012,"Malaconotidae","PASSERIFORMES"
"12","Carduelis xanthogastra xanthogastra","Fringillidae","Passeriformes","Spinus xanthogastrus xanthogastrus",34413,"Fringillidae","PASSERIFORMES"
"13","Carduelis tristis tristis","Fringillidae","Passeriformes","Spinus tristis tristis",34393,"Fringillidae","PASSERIFORMES"
"14","Capito maculicoronatus NA","Capitonidae","Piciformes","Capito maculicoronatus NA",11067,"Capitonidae","PICIFORMES"
"15","Lanius ludovicianus sonoriensis","Laniidae","Passeriformes","Lanius ludovicianus sonoriensis",22382,"Laniidae","PASSERIFORMES"
"16","Lanius ludovicianus gambeli","Laniidae","Passeriformes","Lanius ludovicianus gambeli",22381,"Laniidae","PASSERIFORMES"
"17","Telophorus bocagei jacksoni","Laniidae","Passeriformes","Telophorus bocagei jacksoni",20023,"Malaconotidae","PASSERIFORMES"
"18","Lanius excubitor leucopygos","Laniidae","Passeriformes","Lanius excubitor leucopygos",22370,"Laniidae","PASSERIFORMES"
"19","Carduelis tristis salicamans","Fringillidae","Passeriformes","Spinus tristis salicamans",34392,"Fringillidae","PASSERIFORMES"
"20","Lanius collaris NA","Laniidae","Passeriformes","Lanius collaris NA",22416,"Laniidae","PASSERIFORMES"
"21","Laniarius funebris degener","Laniidae","Passeriformes","Laniarius funebris degener",20121,"Malaconotidae","PASSERIFORMES"
"22","Dryoscopus gambensis gambensis","Laniidae","Passeriformes","Dryoscopus gambensis gambensis",20103,"Malaconotidae","PASSERIFORMES"
"23","Tchagra australis littoralis","Laniidae","Passeriformes","Tchagra australis minor",20054,"Malaconotidae","PASSERIFORMES"
"24","Tchagra senegala remigialis","Laniidae","Passeriformes","Tchagra senegalus remigialis",20072,"Malaconotidae","PASSERIFORMES"
"25","Carduelis psaltria psaltria","Fringillidae","Passeriformes","Spinus psaltria psaltria",34397,"Fringillidae","PASSERIFORMES"
"26","Carduelis psaltria witti","Fringillidae","Passeriformes","Spinus psaltria witti",34396,"Fringillidae","PASSERIFORMES"
"27","Tchagra minuta minuta","Laniidae","Passeriformes","Bocagia minuta minuta",20045,"Malaconotidae","PASSERIFORMES"
"28","Phaethon lepturus dorotheae","Phaethontidae","Pelecaniformes","Phaethon lepturus dorotheae",7281,"Phaethontidae","PHAETHONTIFORMES"
"29","Picus viridis viridis","Picidae","Piciformes","Picus viridis viridis",12603,"Picidae","PICIFORMES"
"30","Lanius collurio NA","Laniidae","Passeriformes","Lanius collurio NA",22442,"Laniidae","PASSERIFORMES"
"31","Sula sula rubripes","Sulidae","Pelecaniformes","Sula sula rubripes",7682,"Sulidae","SULIFORMES"
"32","Tchagra tchagra natalensis","Laniidae","Passeriformes","Tchagra tchagra natalensis",20067,"Malaconotidae","PASSERIFORMES"
"33","Megalaima virens NA","Capitonidae","Piciformes","Psilopogon virens NA",11258,"Megalaimidae","PICIFORMES"
"34","Prionops scopifrons NA","Laniidae","Passeriformes","Prionops scopifrons NA",20254,"Vangidae","PASSERIFORMES"
"35","Carduelis psaltria hesperophila","Fringillidae","Passeriformes","Spinus psaltria hesperophilus",34395,"Fringillidae","PASSERIFORMES"
"36","Capito niger NA","Capitonidae","Piciformes","Capito niger NA",11080,"Capitonidae","PICIFORMES"
"37","Sula dactylatra personata","Sulidae","Pelecaniformes","Sula dactylatra personata",7677,"Sulidae","SULIFORMES"
"38","Phaethon lepturus catesbyi","Phaethontidae","Pelecaniformes","Phaethon lepturus catesbyi",7276,"Phaethontidae","PHAETHONTIFORMES"
"39","Prionops caniceps mentalis","Laniidae","Passeriformes","Prionops rufiventris mentalis",20245,"Vangidae","PASSERIFORMES"
"40","Phaethon aethereus mesonauta","Phaethontidae","Pelecaniformes","Phaethon aethereus mesonauta",7267,"Phaethontidae","PHAETHONTIFORMES"
"41","Tchagra australis damarensis","Laniidae","Passeriformes","Tchagra australis damarensis",20061,"Malaconotidae","PASSERIFORMES"
"42","Lanius cristatus cristatus","Laniidae","Passeriformes","Lanius cristatus cristatus",22455,"Laniidae","PASSERIFORMES"
"43","Prionops scopifrons scopifrons","Laniidae","Passeriformes","Prionops scopifrons scopifrons",20257,"Vangidae","PASSERIFORMES"
