"","sciname","genus","species","family","order"
"1","Wilsonia pusilla","Wilsonia","pusilla","Parulidae","Passeriformes"
"2","Tchagra cruenta","Tchagra","cruenta","Laniidae","Passeriformes"
"3","Tchagra australis","Tchagra","australis","Laniidae","Passeriformes"
"4","Colius colius","Colius","colius","Coliidae","Coliiformes"
"5","Phaethon rubricauda","Phaethon","rubricauda","Phaethontidae","Pelecaniformes"
"6","Sphyrapicus ruber","Sphyrapicus","ruber","Picidae","Piciformes"
"7","Eubucco bourcierii","Eubucco","bourcierii","Capitonidae","Piciformes"
"8","Mino anais","Mino","anais","Sturnidae","Passeriformes"
"9","Tchagra jamesi","Tchagra","jamesi","Laniidae","Passeriformes"
"10","Lanius ludovicianus","Lanius","ludovicianus","Laniidae","Passeriformes"
"11","Telophorus nigrifrons","Telophorus","nigrifrons","Laniidae","Passeriformes"
"12","Carduelis xanthogastra","Carduelis","xanthogastra","Fringillidae","Passeriformes"
"13","Carduelis tristis","Carduelis","tristis","Fringillidae","Passeriformes"
"14","Calocitta colliei","Calocitta","colliei","Corvidae","Passeriformes"
"15","Capito maculicoronatus","Capito","maculicoronatus","Capitonidae","Piciformes"
"16","Laniarius luhderi","Laniarius","luhderi","Laniidae","Passeriformes"
"17","Telophorus bocagei","Telophorus","bocagei","Laniidae","Passeriformes"
"18","Lanius excubitor","Lanius","excubitor","Laniidae","Passeriformes"
"19","Lanius collaris","Lanius","collaris","Laniidae","Passeriformes"
"20","Laniarius funebris","Laniarius","funebris","Laniidae","Passeriformes"
"21","Dryoscopus gambensis","Dryoscopus","gambensis","Laniidae","Passeriformes"
"22","Megalaima lineata","Megalaima","lineata","Capitonidae","Piciformes"
"23","Tchagra senegala","Tchagra","senegala","Laniidae","Passeriformes"
"24","Carduelis psaltria","Carduelis","psaltria","Fringillidae","Passeriformes"
"25","Tchagra minuta","Tchagra","minuta","Laniidae","Passeriformes"
"26","Phalacrocorax brasilianus","Phalacrocorax","brasilianus","Phalacrocoracidae","Pelecaniformes"
"27","Phaethon lepturus","Phaethon","lepturus","Phaethontidae","Pelecaniformes"
"28","Picus viridis","Picus","viridis","Picidae","Piciformes"
"29","Lanius collurio","Lanius","collurio","Laniidae","Passeriformes"
"30","Sula sula","Sula","sula","Sulidae","Pelecaniformes"
"31","Tchagra tchagra","Tchagra","tchagra","Laniidae","Passeriformes"
"32","Megalaima virens","Megalaima","virens","Capitonidae","Piciformes"
"33","Prionops scopifrons","Prionops","scopifrons","Laniidae","Passeriformes"
"34","Capito niger","Capito","niger","Capitonidae","Piciformes"
"35","Sula dactylatra","Sula","dactylatra","Sulidae","Pelecaniformes"
"36","Phaethon aethereus","Phaethon","aethereus","Phaethontidae","Pelecaniformes"
"37","Prionops caniceps","Prionops","caniceps","Laniidae","Passeriformes"
"38","Lanius cristatus","Lanius","cristatus","Laniidae","Passeriformes"
"39","Malaconotus blanchoti","Malaconotus","blanchoti","Laniidae","Passeriformes"
"40","Picoides villosus","Picoides","villosus","Picidae","Piciformes"
"41","Laniarius ferrugineus","Laniarius","ferrugineus","Laniidae","Passeriformes"
"42","Agelaius phoeniceus","Agelaius","phoeniceus","Icteridae","Passeriformes"
"43","Laniarius fulleborni","Laniarius","fulleborni","Laniidae","Passeriformes"
"44","Corvinella melanoleuca","Corvinella","melanoleuca","Laniidae","Passeriformes"
"45","Sula nebouxii","Sula","nebouxii","Sulidae","Pelecaniformes"
"46","Nilaus afer","Nilaus","afer","Laniidae","Passeriformes"
"47","Porphyrio poliocephalus","Porphyrio","poliocephalus","Rallidae","Gruiformes"
"48","Sula leucogaster","Sula","leucogaster","Sulidae","Pelecaniformes"
"49","Synallaxis rutilans","Synallaxis","rutilans","Furnariidae","Passeriformes"
"50","Synallaxis stictothorax","Synallaxis","stictothorax","Furnariidae","Passeriformes"
"51","Synallaxis unirufa","Synallaxis","unirufa","Furnariidae","Passeriformes"
"52","Thripophaga flammulata","Thripophaga","flammulata","Furnariidae","Passeriformes"
"53","Thripophaga pyrrholeuca","Thripophaga","pyrrholeuca","Furnariidae","Passeriformes"
"54","Thripophaga wyatti","Thripophaga","wyatti","Furnariidae","Passeriformes"
"55","Upucerthia dumetaria","Upucerthia","dumetaria","Furnariidae","Passeriformes"
"56","Margarornis brunnescens","Margarornis","brunnescens","Furnariidae","Passeriformes"
"57","Margarornis rubiginosus","Margarornis","rubiginosus","Furnariidae","Passeriformes"
"58","Margarornis squamiger","Margarornis","squamiger","Furnariidae","Passeriformes"
"59","Automolus ochrolaemus","Automolus","ochrolaemus","Furnariidae","Passeriformes"
"60","Automolus rubiginosus","Automolus","rubiginosus","Furnariidae","Passeriformes"
"61","Automolus infuscatus","Automolus","infuscatus","Furnariidae","Passeriformes"
"62","Automolus leucophthalmus","Automolus","leucophthalmus","Furnariidae","Passeriformes"
"63","Carduelis pinus","Carduelis","pinus","Fringillidae","Passeriformes"
"64","Prionops plumata","Prionops","plumata","Laniidae","Passeriformes"
"65","Philydor rufosuperciliatus","Philydor","rufosuperciliatus","Furnariidae","Passeriformes"
"66","Anas falcata","Anas","falcata","Anatidae","Anseriformes"
"67","Euphonia xanthogaster","Euphonia","xanthogaster","Emberizidae","Passeriformes"
"68","Coryphospingus cucullatus","Coryphospingus","cucullatus","Emberizidae","Passeriformes"
"69","Coryphospingus pileatus","Coryphospingus","pileatus","Emberizidae","Passeriformes"
"70","Hemispingus atropileus","Hemispingus","atropileus","Emberizidae","Passeriformes"
"71","Hemispingus frontalis","Hemispingus","frontalis","Emberizidae","Passeriformes"
"72","Hemispingus melanotis","Hemispingus","melanotis","Emberizidae","Passeriformes"
"73","Hemispingus superciliaris","Hemispingus","superciliaris","Emberizidae","Passeriformes"
"74","Coryphaspiza melanotis","Coryphaspiza","melanotis","Emberizidae","Passeriformes"
"75","Eucometis penicillata","Eucometis","penicillata","Emberizidae","Passeriformes"
"76","Cyanerpes caeruleus","Cyanerpes","caeruleus","Emberizidae","Passeriformes"
"77","Cyanerpes cyaneus","Cyanerpes","cyaneus","Emberizidae","Passeriformes"
"78","Crinifer piscator","Crinifer","piscator","Musophagidae","Cuculiformes"
"79","Spermophaga ruficapilla","Spermophaga","ruficapilla","Estrildidae","Passeriformes"
"80","Pyrenestes ostrinus","Pyrenestes","ostrinus","Estrildidae","Passeriformes"
"81","Pyrenestes sanguineus","Pyrenestes","sanguineus","Estrildidae","Passeriformes"
"82","Uraeginthus granatina","Uraeginthus","granatina","Estrildidae","Passeriformes"
"83","Uraeginthus bengalus","Uraeginthus","bengalus","Estrildidae","Passeriformes"
"84","Uraeginthus angolensis","Uraeginthus","angolensis","Estrildidae","Passeriformes"
"85","Uraeginthus ianthinogaster","Uraeginthus","ianthinogaster","Estrildidae","Passeriformes"
"86","Tyranniscus vilissimus","Tyranniscus","vilissimus","Tyrannidae","Passeriformes"
"87","Tyranniscus viridiflavus","Tyranniscus","viridiflavus","Tyrannidae","Passeriformes"
"88","Tolmomyias assimilis","Tolmomyias","assimilis","Tyrannidae","Passeriformes"
"89","Tolmomyias flaviventris","Tolmomyias","flaviventris","Tyrannidae","Passeriformes"
"90","Tolmomyias sulphurescens","Tolmomyias","sulphurescens","Tyrannidae","Passeriformes"
"91","Tolmomyias poliocephalus","Tolmomyias","poliocephalus","Tyrannidae","Passeriformes"
"92","Terenotriccus erythrurus","Terenotriccus","erythrurus","Tyrannidae","Passeriformes"
"93","Tachuris rubrigastra","Tachuris","rubrigastra","Tyrannidae","Passeriformes"
"94","Suiriri suiriri","Suiriri","suiriri","Tyrannidae","Passeriformes"
"95","Sublegatus arenarum","Sublegatus","arenarum","Tyrannidae","Passeriformes"
"96","Sublegatus modestus","Sublegatus","modestus","Tyrannidae","Passeriformes"
"97","Stigmatura budytoides","Stigmatura","budytoides","Tyrannidae","Passeriformes"
"98","Sirystes sibilator","Sirystes","sibilator","Tyrannidae","Passeriformes"
"99","Sayornis nigricans","Sayornis","nigricans","Tyrannidae","Passeriformes"
"100","Sayornis saya","Sayornis","saya","Tyrannidae","Passeriformes"
"101","Rhytipterna holerythra","Rhytipterna","holerythra","Tyrannidae","Passeriformes"
"102","Rhytipterna simplex","Rhytipterna","simplex","Tyrannidae","Passeriformes"
"103","Rhynchocyclus brevirostris","Rhynchocyclus","brevirostris","Tyrannidae","Passeriformes"
"104","Rhynchocyclus olivaceus","Rhynchocyclus","olivaceus","Tyrannidae","Passeriformes"
