"","sciname","subspecies","genus","species","family","order"
"1","Wilsonia pusilla","ssp","Wilsonia","pusilla","Parulidae","Passeriformes"
"2","Tchagra cruenta","hilgerti","Tchagra","cruenta","Laniidae","Passeriformes"
"3","Tchagra australis","emini","Tchagra","australis","Laniidae","Passeriformes"
"4","Colius colius",NA,"Colius","colius","Coliidae","Coliiformes"
"5","Phaethon rubricauda","melanorhynchos","Phaethon","rubricauda","Phaethontidae","Pelecaniformes"
"6","Sphyrapicus ruber","ssp","Sphyrapicus","ruber","Picidae","Piciformes"
"7","Eubucco bourcierii","ssp","Eubucco","bourcierii","Capitonidae","Piciformes"
"8","Mino anais",NA,"Mino","anais","Sturnidae","Passeriformes"
"9","Tchagra jamesi","jamesi","Tchagra","jamesi","Laniidae","Passeriformes"
"10","Lanius ludovicianus","anthonyi","Lanius","ludovicianus","Laniidae","Passeriformes"
"11","Telophorus nigrifrons","nigrifrons","Telophorus","nigrifrons","Laniidae","Passeriformes"
"12","Carduelis xanthogastra","xanthogastra","Carduelis","xanthogastra","Fringillidae","Passeriformes"
"13","Carduelis tristis","tristis","Carduelis","tristis","Fringillidae","Passeriformes"
"14","Calocitta colliei",NA,"Calocitta","colliei","Corvidae","Passeriformes"
"15","Capito maculicoronatus","ssp","Capito","maculicoronatus","Capitonidae","Piciformes"
"16","Laniarius luhderi","luhderi","Laniarius","luhderi","Laniidae","Passeriformes"
"17","Telophorus bocagei","jacksoni","Telophorus","bocagei","Laniidae","Passeriformes"
"18","Lanius excubitor","leucopygos","Lanius","excubitor","Laniidae","Passeriformes"
"19","Lanius collaris","ssp","Lanius","collaris","Laniidae","Passeriformes"
"20","Laniarius funebris","degener","Laniarius","funebris","Laniidae","Passeriformes"
"21","Dryoscopus gambensis","gambensis","Dryoscopus","gambensis","Laniidae","Passeriformes"
"22","Megalaima lineata","ssp","Megalaima","lineata","Capitonidae","Piciformes"
"23","Tchagra senegala","remigialis","Tchagra","senegala","Laniidae","Passeriformes"
"24","Carduelis psaltria","hesperophilus","Carduelis","psaltria","Fringillidae","Passeriformes"
"25","Tchagra minuta","minuta","Tchagra","minuta","Laniidae","Passeriformes"
"26","Phalacrocorax brasilianus","brasilianus","Phalacrocorax","brasilianus","Phalacrocoracidae","Pelecaniformes"
"27","Phaethon lepturus","dorotheae","Phaethon","lepturus","Phaethontidae","Pelecaniformes"
"28","Picus viridis","viridis","Picus","viridis","Picidae","Piciformes"
"29","Lanius collurio","ssp","Lanius","collurio","Laniidae","Passeriformes"
"30","Sula sula","rubripes","Sula","sula","Sulidae","Pelecaniformes"
"31","Tchagra tchagra","natalensis","Tchagra","tchagra","Laniidae","Passeriformes"
"32","Megalaima virens","ssp","Megalaima","virens","Capitonidae","Piciformes"
"33","Prionops scopifrons","ssp","Prionops","scopifrons","Laniidae","Passeriformes"
"34","Capito niger","ssp","Capito","niger","Capitonidae","Piciformes"
"35","Sula dactylatra","personata","Sula","dactylatra","Sulidae","Pelecaniformes"
"36","Phaethon aethereus","limatus","Phaethon","aethereus","Phaethontidae","Pelecaniformes"
"37","Prionops caniceps","mentalis","Prionops","caniceps","Laniidae","Passeriformes"
"38","Lanius cristatus","cristatus","Lanius","cristatus","Laniidae","Passeriformes"
"39","Malaconotus blanchoti","approximans","Malaconotus","blanchoti","Laniidae","Passeriformes"
"40","Picoides villosus","ssp","Picoides","villosus","Picidae","Piciformes"
"41","Laniarius ferrugineus","major","Laniarius","ferrugineus","Laniidae","Passeriformes"
"42","Agelaius phoeniceus","neutralis","Agelaius","phoeniceus","Icteridae","Passeriformes"
"43","Laniarius fulleborni","poensis","Laniarius","fulleborni","Laniidae","Passeriformes"
"44","Corvinella melanoleuca","melanoleuca","Corvinella","melanoleuca","Laniidae","Passeriformes"
"45","Sula nebouxii","nebouxii","Sula","nebouxii","Sulidae","Pelecaniformes"
"46","Nilaus afer","minor","Nilaus","afer","Laniidae","Passeriformes"
"47","Porphyrio poliocephalus","ssp","Porphyrio","poliocephalus","Rallidae","Gruiformes"
"48","Sula leucogaster","plotus","Sula","leucogaster","Sulidae","Pelecaniformes"
"49","Synallaxis rutilans","omissa","Synallaxis","rutilans","Furnariidae","Passeriformes"
"50","Synallaxis stictothorax","stictothorax","Synallaxis","stictothorax","Furnariidae","Passeriformes"
"51","Synallaxis unirufa","unirufa","Synallaxis","unirufa","Furnariidae","Passeriformes"
"52","Thripophaga flammulata","multostriata","Thripophaga","flammulata","Furnariidae","Passeriformes"
"53","Thripophaga pyrrholeuca","sordida","Thripophaga","pyrrholeuca","Furnariidae","Passeriformes"
"54","Thripophaga wyatti","wyatti","Thripophaga","wyatti","Furnariidae","Passeriformes"
"55","Upucerthia dumetaria","dumetaria","Upucerthia","dumetaria","Furnariidae","Passeriformes"
"56","Margarornis brunnescens","brunneicauda","Margarornis","brunnescens","Furnariidae","Passeriformes"
"57","Margarornis rubiginosus","rubiginosus","Margarornis","rubiginosus","Furnariidae","Passeriformes"
"58","Margarornis squamiger","perlatus","Margarornis","squamiger","Furnariidae","Passeriformes"
"59","Automolus ochrolaemus","amusos","Automolus","ochrolaemus","Furnariidae","Passeriformes"
"60","Automolus rubiginosus","nigricauda","Automolus","rubiginosus","Furnariidae","Passeriformes"
"61","Automolus infuscatus","cervicalis","Automolus","infuscatus","Furnariidae","Passeriformes"
"62","Automolus leucophthalmus","lammi","Automolus","leucophthalmus","Furnariidae","Passeriformes"
"63","Carduelis pinus","pinus","Carduelis","pinus","Fringillidae","Passeriformes"
"64","Prionops plumata","plumata","Prionops","plumata","Laniidae","Passeriformes"
"65","Philydor rufosuperciliatus","acrita","Philydor","rufosuperciliatus","Furnariidae","Passeriformes"
"66","Anas falcata",NA,"Anas","falcata","Anatidae","Anseriformes"
"67","Euphonia xanthogaster","ssp","Euphonia","xanthogaster","Emberizidae","Passeriformes"
"68","Coryphospingus cucullatus","cucullatus","Coryphospingus","cucullatus","Emberizidae","Passeriformes"
"69","Coryphospingus pileatus","brevicaudus","Coryphospingus","pileatus","Emberizidae","Passeriformes"
"70","Hemispingus atropileus","atropileus","Hemispingus","atropileus","Emberizidae","Passeriformes"
"71","Hemispingus frontalis","frontalis","Hemispingus","frontalis","Emberizidae","Passeriformes"
"72","Hemispingus melanotis","melanotis","Hemispingus","melanotis","Emberizidae","Passeriformes"
"73","Hemispingus superciliaris","nigrifrons","Hemispingus","superciliaris","Emberizidae","Passeriformes"
"74","Coryphaspiza melanotis","melanotis","Coryphaspiza","melanotis","Emberizidae","Passeriformes"
"75","Eucometis penicillata","albicollis","Eucometis","penicillata","Emberizidae","Passeriformes"
"76","Cyanerpes caeruleus","caeruleus","Cyanerpes","caeruleus","Emberizidae","Passeriformes"
"77","Cyanerpes cyaneus","eximius","Cyanerpes","cyaneus","Emberizidae","Passeriformes"
"78","Crinifer piscator","ssp","Crinifer","piscator","Musophagidae","Cuculiformes"
"79","Spermophaga ruficapilla","ruficapilla","Spermophaga","ruficapilla","Estrildidae","Passeriformes"
