"","fullname","sciname","subspecies","genus","species","family","order"
"1","Wilsonia pusilla ssp","Wilsonia pusilla","ssp","Wilsonia","pusilla","Parulidae","Passeriformes"
"2","Tchagra cruenta hilgerti","Tchagra cruenta","hilgerti","Tchagra","cruenta","Laniidae","Passeriformes"
"3","Tchagra australis emini","Tchagra australis","emini","Tchagra","australis","Laniidae","Passeriformes"
"4","Colius colius NA","Colius colius",NA,"Colius","colius","Coliidae","Coliiformes"
"5","Phaethon rubricauda melanorhynchos","Phaethon rubricauda","melanorhynchos","Phaethon","rubricauda","Phaethontidae","Pelecaniformes"
"6","Sphyrapicus ruber ssp","Sphyrapicus ruber","ssp","Sphyrapicus","ruber","Picidae","Piciformes"
"7","Eubucco bourcierii ssp","Eubucco bourcierii","ssp","Eubucco","bourcierii","Capitonidae","Piciformes"
"8","Mino anais NA","Mino anais",NA,"Mino","anais","Sturnidae","Passeriformes"
"9","Tchagra jamesi jamesi","Tchagra jamesi","jamesi","Tchagra","jamesi","Laniidae","Passeriformes"
"10","Tchagra australis minor","Tchagra australis","minor","Tchagra","australis","Laniidae","Passeriformes"
"11","Lanius ludovicianus anthonyi","Lanius ludovicianus","anthonyi","Lanius","ludovicianus","Laniidae","Passeriformes"
"12","Telophorus nigrifrons nigrifrons","Telophorus nigrifrons","nigrifrons","Telophorus","nigrifrons","Laniidae","Passeriformes"
"13","Carduelis xanthogastra xanthogastra","Carduelis xanthogastra","xanthogastra","Carduelis","xanthogastra","Fringillidae","Passeriformes"
"14","Carduelis tristis tristis","Carduelis tristis","tristis","Carduelis","tristis","Fringillidae","Passeriformes"
"15","Calocitta colliei NA","Calocitta colliei",NA,"Calocitta","colliei","Corvidae","Passeriformes"
"16","Capito maculicoronatus ssp","Capito maculicoronatus","ssp","Capito","maculicoronatus","Capitonidae","Piciformes"
"17","Lanius ludovicianus sonoriensis","Lanius ludovicianus","sonoriensis","Lanius","ludovicianus","Laniidae","Passeriformes"
"18","Lanius ludovicianus gambeli","Lanius ludovicianus","gambeli","Lanius","ludovicianus","Laniidae","Passeriformes"
"19","Laniarius luhderi luhderi","Laniarius luhderi","luhderi","Laniarius","luhderi","Laniidae","Passeriformes"
"20","Telophorus bocagei jacksoni","Telophorus bocagei","jacksoni","Telophorus","bocagei","Laniidae","Passeriformes"
"21","Lanius excubitor leucopygos","Lanius excubitor","leucopygos","Lanius","excubitor","Laniidae","Passeriformes"
"22","Carduelis tristis salicamans","Carduelis tristis","salicamans","Carduelis","tristis","Fringillidae","Passeriformes"
"23","Lanius collaris ssp","Lanius collaris","ssp","Lanius","collaris","Laniidae","Passeriformes"
"24","Laniarius funebris degener","Laniarius funebris","degener","Laniarius","funebris","Laniidae","Passeriformes"
"25","Dryoscopus gambensis gambensis","Dryoscopus gambensis","gambensis","Dryoscopus","gambensis","Laniidae","Passeriformes"
"26","Megalaima lineata ssp","Megalaima lineata","ssp","Megalaima","lineata","Capitonidae","Piciformes"
"27","Tchagra australis littoralis","Tchagra australis","littoralis","Tchagra","australis","Laniidae","Passeriformes"
"28","Tchagra senegala remigialis","Tchagra senegala","remigialis","Tchagra","senegala","Laniidae","Passeriformes"
"29","Carduelis psaltria hesperophilus","Carduelis psaltria","hesperophilus","Carduelis","psaltria","Fringillidae","Passeriformes"
"30","Carduelis psaltria psaltria","Carduelis psaltria","psaltria","Carduelis","psaltria","Fringillidae","Passeriformes"
"31","Carduelis psaltria witti","Carduelis psaltria","witti","Carduelis","psaltria","Fringillidae","Passeriformes"
"32","Tchagra minuta minuta","Tchagra minuta","minuta","Tchagra","minuta","Laniidae","Passeriformes"
"33","Phalacrocorax brasilianus brasilianus","Phalacrocorax brasilianus","brasilianus","Phalacrocorax","brasilianus","Phalacrocoracidae","Pelecaniformes"
"34","Phaethon lepturus dorotheae","Phaethon lepturus","dorotheae","Phaethon","lepturus","Phaethontidae","Pelecaniformes"
"35","Picus viridis viridis","Picus viridis","viridis","Picus","viridis","Picidae","Piciformes"
"36","Lanius collurio ssp","Lanius collurio","ssp","Lanius","collurio","Laniidae","Passeriformes"
"37","Sula sula rubripes","Sula sula","rubripes","Sula","sula","Sulidae","Pelecaniformes"
"38","Tchagra tchagra natalensis","Tchagra tchagra","natalensis","Tchagra","tchagra","Laniidae","Passeriformes"
"39","Megalaima virens ssp","Megalaima virens","ssp","Megalaima","virens","Capitonidae","Piciformes"
"40","Prionops scopifrons ssp","Prionops scopifrons","ssp","Prionops","scopifrons","Laniidae","Passeriformes"
