"","IOC_seq","emu_fullname","emu_order","emu_family","emu_genus","emu_species","emu_subspecies","new_fullname","new_order","new_family","new_genus","new_species","new_subspecies","namechange","familychange","orderchange"
"1",1,"Struthio camelus ","Struthioniformes","Struthionidae","Struthio","camelus","","Struthio camelus ","Struthioniformes","Struthionidae","Struthio","camelus","","No","No","No"
"2",8,"Rhea americana ","Rheiformes","Rheidae","Rhea","americana","","Rhea americana ","Rheiformes","Rheidae","Rhea","americana","","No","No","No"
"3",9,"Rhea americana americana","Rheiformes","Rheidae","Rhea","americana","americana","Rhea americana americana","Rheiformes","Rheidae","Rhea","americana","americana","No","No","No"
"4",13,"Rhea americana albescens","Rheiformes","Rheidae","Rhea","americana","albescens","Rhea americana albescens","Rheiformes","Rheidae","Rhea","americana","albescens","No","No","No"
"5",14,"Pterocnemia pennata ","Rheiformes","Rheidae","Pterocnemia","pennata","","Rhea pennata ","Rheiformes","Rheidae","Rhea","pennata","","Yes","No","No"
"6",22,"Apteryx australis mantelli","Apterygiformes","Apterygidae","Apteryx","australis","mantelli","Apteryx mantelli ","Apterygiformes","Apterygidae","Apteryx","mantelli","","Yes","No","No"
"7",24," NA NA","Apodiformes","Apodidae","NA","NA","","Apteryx rowi ","Apterygiformes","Apterygidae","Apteryx","rowi","","Yes","Yes","Yes"
"8",25,"Apteryx owenii ","Apterygiformes","Apterygidae","Apteryx","owenii","","Apteryx owenii ","Apterygiformes","Apterygidae","Apteryx","owenii","","No","No","No"
"9",27,"Casuarius casuarius ","Casuariiformes","Casuariidae","Casuarius","casuarius","","Casuarius casuarius ","Casuariiformes","Casuariidae","Casuarius","casuarius","","No","No","No"
"10",28,"Casuarius bennetti ","Casuariiformes","Casuariidae","Casuarius","bennetti","","Casuarius bennetti ","Casuariiformes","Casuariidae","Casuarius","bennetti","","No","No","No"
"11",28,"Casuarius bennetti hecki","Casuariiformes","Casuariidae","Casuarius","bennetti","hecki","Casuarius bennetti","Casuariiformes","Casuariidae","Casuarius","bennetti","bennetti","Yes","No","No"
"12",31,"Casuarius unappendiculatus ","Casuariiformes","Casuariidae","Casuarius","unappendiculatus","","Casuarius unappendiculatus ","Casuariiformes","Casuariidae","Casuarius","unappendiculatus","","No","No","No"
"13",32,"Dromaius novaehollandiae ","Casuariiformes","Dromaiidae","Dromaius","novaehollandiae","","Dromaius novaehollandiae ","Casuariiformes","Casuariidae","Dromaius","novaehollandiae","","No","Yes","No"
"14",42,"Tinamus tao tao","Tinamiformes","Tinamidae","Tinamus","tao","tao","Tinamus tao tao","Tinamiformes","Tinamidae","Tinamus","tao","tao","No","No","No"
"15",45,"Tinamus solitarius solitarius","Tinamiformes","Tinamidae","Tinamus","solitarius","solitarius","Tinamus solitarius ","Tinamiformes","Tinamidae","Tinamus","solitarius","","Yes","No","No"
"16",46,"Tinamus solitarius pernambucensis","Tinamiformes","Tinamidae","Tinamus","solitarius","pernambucensis","Tinamus solitarius ","Tinamiformes","Tinamidae","Tinamus","solitarius","","Yes","No","No"
"17",53,"Tinamus major fuscipennis","Tinamiformes","Tinamidae","Tinamus","major","fuscipennis","Tinamus major fuscipennis","Tinamiformes","Tinamidae","Tinamus","major","fuscipennis","No","No","No"
"18",56,"Tinamus major saturatus","Tinamiformes","Tinamidae","Tinamus","major","saturatus","Tinamus major saturatus","Tinamiformes","Tinamidae","Tinamus","major","saturatus","No","No","No"
"19",58,"Tinamus major latifrons","Tinamiformes","Tinamidae","Tinamus","major","latifrons","Tinamus major latifrons","Tinamiformes","Tinamidae","Tinamus","major","latifrons","No","No","No"
"20",59,"Tinamus major major","Tinamiformes","Tinamidae","Tinamus","major","major","Tinamus major major","Tinamiformes","Tinamidae","Tinamus","major","major","No","No","No"
"21",63,"Tinamus guttatus ","Tinamiformes","Tinamidae","Tinamus","guttatus","","Tinamus guttatus ","Tinamiformes","Tinamidae","Tinamus","guttatus","","No","No","No"
"22",75,"Crypturellus cinereus ","Tinamiformes","Tinamidae","Crypturellus","cinereus","","Crypturellus cinereus ","Tinamiformes","Tinamidae","Crypturellus","cinereus","","No","No","No"
"23",75,"Crypturellus cinereus cinereus","Tinamiformes","Tinamidae","Crypturellus","cinereus","cinereus","Crypturellus cinereus","Tinamiformes","Tinamidae","Crypturellus","cinereus","cinereus","Yes","No","No"
"24",76,"Crypturellus soui ","Tinamiformes","Tinamidae","Crypturellus","soui","","Crypturellus soui ","Tinamiformes","Tinamidae","Crypturellus","soui","","No","No","No"
"25",78,"Crypturellus soui modestus","Tinamiformes","Tinamidae","Crypturellus","soui","modestus","Crypturellus soui modestus","Tinamiformes","Tinamidae","Crypturellus","soui","modestus","No","No","No"
"26",81,"Crypturellus soui panamensis","Tinamiformes","Tinamidae","Crypturellus","soui","panamensis","Crypturellus soui panamensis","Tinamiformes","Tinamidae","Crypturellus","soui","panamensis","No","No","No"
"27",82,"Crypturellus soui mustelinus","Tinamiformes","Tinamidae","Crypturellus","soui","mustelinus","Crypturellus soui mustelinus","Tinamiformes","Tinamidae","Crypturellus","soui","mustelinus","No","No","No"
"28",85,"Crypturellus soui caucae","Tinamiformes","Tinamidae","Crypturellus","soui","caucae","Crypturellus soui caucae","Tinamiformes","Tinamidae","Crypturellus","soui","caucae","No","No","No"
"29",86,"Crypturellus soui harterti","Tinamiformes","Tinamidae","Crypturellus","soui","harterti","Crypturellus soui harterti","Tinamiformes","Tinamidae","Crypturellus","soui","harterti","No","No","No"
"30",87,"Crypturellus soui caquetae","Tinamiformes","Tinamidae","Crypturellus","soui","caquetae","Crypturellus soui caquetae","Tinamiformes","Tinamidae","Crypturellus","soui","caquetae","No","No","No"
"31",89,"Crypturellus soui albigularis","Tinamiformes","Tinamidae","Crypturellus","soui","albigularis","Crypturellus soui albigularis","Tinamiformes","Tinamidae","Crypturellus","soui","albigularis","No","No","No"
"32",90,"Crypturellus soui inconspicuus","Tinamiformes","Tinamidae","Crypturellus","soui","inconspicuus","Crypturellus soui inconspicuus","Tinamiformes","Tinamidae","Crypturellus","soui","inconspicuus","No","No","No"
"33",102,"Crypturellus obsoletus obsoletus","Tinamiformes","Tinamidae","Crypturellus","obsoletus","obsoletus","Crypturellus obsoletus obsoletus","Tinamiformes","Tinamidae","Crypturellus","obsoletus","obsoletus","No","No","No"
"34",105,"Crypturellus undulatus simplex","Tinamiformes","Tinamidae","Crypturellus","undulatus","simplex","Crypturellus undulatus simplex","Tinamiformes","Tinamidae","Crypturellus","undulatus","simplex","No","No","No"
"35",107,"Crypturellus undulatus adspersus","Tinamiformes","Tinamidae","Crypturellus","undulatus","adspersus","Crypturellus undulatus adspersus","Tinamiformes","Tinamidae","Crypturellus","undulatus","adspersus","No","No","No"
"36",108,"Crypturellus undulatus vermiculatus","Tinamiformes","Tinamidae","Crypturellus","undulatus","vermiculatus","Crypturellus undulatus vermiculatus","Tinamiformes","Tinamidae","Crypturellus","undulatus","vermiculatus","No","No","No"
"37",111,"Crypturellus strigulosus strigulosus","Tinamiformes","Tinamidae","Crypturellus","strigulosus","strigulosus","Crypturellus strigulosus","Tinamiformes","Tinamidae","Crypturellus","strigulosus","strigulosus","Yes","No","No"
"38",123,"Crypturellus noctivagus noctivagus","Tinamiformes","Tinamidae","Crypturellus","noctivagus","noctivagus","Crypturellus noctivagus noctivagus","Tinamiformes","Tinamidae","Crypturellus","noctivagus","noctivagus","No","No","No"
"39",129,"Crypturellus cinnamomeus occidentalis","Tinamiformes","Tinamidae","Crypturellus","cinnamomeus","occidentalis","Crypturellus cinnamomeus occidentalis","Tinamiformes","Tinamidae","Crypturellus","cinnamomeus","occidentalis","No","No","No"
"40",133,"Crypturellus cinnamomeus sallaei","Tinamiformes","Tinamidae","Crypturellus","cinnamomeus","sallaei","Crypturellus cinnamomeus sallaei","Tinamiformes","Tinamidae","Crypturellus","cinnamomeus","sallaei","No","No","No"
"41",135,"Crypturellus cinnamomeus cinnamomeus","Tinamiformes","Tinamidae","Crypturellus","cinnamomeus","cinnamomeus","Crypturellus cinnamomeus cinnamomeus","Tinamiformes","Tinamidae","Crypturellus","cinnamomeus","cinnamomeus","No","No","No"
"42",137,"Crypturellus cinnamomeus praepes","Tinamiformes","Tinamidae","Crypturellus","cinnamomeus","praepes","Crypturellus cinnamomeus praepes","Tinamiformes","Tinamidae","Crypturellus","cinnamomeus","praepes","No","No","No"
