"","fullname","new_fullname","family","order","IOC_seq","family_clements","order_clements"
"1","Empidonomus aurantioatrocristatus minor","Griseotyrannus aurantioatrocristatus","Tyrannidae","Passeriformes",NA,NA,NA
"2","Elaenia sp NA","Elaenia sp","Tyrannidae","Passeriformes",NA,NA,NA
"3","Lonchura sp NA","Lonchura sp","Estrildidae","Passeriformes",NA,NA,NA
"4","Passerella iliaca unalaschensis","Passerella unalaschcensis unalaschcensis","Emberizidae","Passeriformes",NA,NA,NA
"5","Passerella iliaca ridgwayi","Passerella unalaschcensis insularis","Emberizidae","Passeriformes",NA,NA,NA
"6","Philydor subulatus assimilis","Automolus virgatus assimilis","Furnariidae","Passeriformes",NA,NA,NA
"7","Toxostoma sp NA","Toxostoma sp","Mimidae","Passeriformes",NA,NA,NA
"8","Pycnonotus sp NA","Pycnonotus sp","Pycnonotidae","Passeriformes",NA,NA,NA
"9","Vireo pallens nicoyensis","Vireo pallens nicoyensis","Vireonidae","Passeriformes",NA,NA,NA
"10","Microbates collaris torquatus","Microbates collaris torquatus","Muscicapidae","Passeriformes",NA,NA,NA
"11","Muscicapa caerulescens brevicaudata","Muscicapa caerulescens brevicauda","Muscicapidae","Passeriformes",NA,NA,NA
"12","Niltava rufigastra simplex","Cyornis rufigastra simplex","Muscicapidae","Passeriformes",NA,NA,NA
"13","Sericornis sp NA","Sericornis sp","Muscicapidae","Passeriformes",NA,NA,NA
"14","Picoides lignarius NA","Veniliornis lignarius","Picidae","Piciformes",NA,NA,NA
"15","Amphispiza sp NA","Amphispiza sp","Emberizidae","Passeriformes",NA,NA,NA
"16","Megalurus palustris andrewsi","Megalurus palustris toklao","Muscicapidae","Passeriformes",NA,NA,NA
"17","Erythrura sp NA","Erythrura sp","Estrildidae","Passeriformes",NA,NA,NA
"18","Campylorhamphus sp NA","Campylorhamphus sp","Dendrocolaptidae","Passeriformes",NA,NA,NA
