transaction,n_specimen,recipient,date
17296,11,"Steadman, David  - Florida Museum of Natural History; Florida Museum of Natural History - Ornithology Department",4/26/2018
8.2019.78,13,"Smith, Brian T.  - American Museum of Natural History; American Museum of Natural History - Division of Vertebrate Zoology - Department of Ornithology",10/29/2019
8.2017.21,1,"Smith, Brian T.  - American Museum of Natural History; Mauck, William  - American Museum of Natural History; American Museum of Natural History - Division of Vertebrate Zoology - Department of Ornithology",5/10/2017
8.2017.30,22,"Salter, Jessie F.  - Louisiana State University; Louisiana State University - Department of Biological Sciences",7/14/2017
17361,23,"Collins, Paul W.  - Santa Barbara Museum of Natural History; Santa Barbara Museum of Natural History",11/8/2018
8.2017.4,14,"Kearns, Anna  - Smithsonian Institution; Smithsonian Institution - National Zoo and Conservation Biology Institute",1/23/2017
8.2022.22,1,"United States Fish and Wildlife Service - OLE National Fish and Wildlife Forensics Laboratory; Wostenberg, Darren  - United States Fish and Wildlife Service",4/27/2022
8.2019.32,10,"Delmore, Kira  - Texas A&M University; Texas A&M University - Department of Biology",3/26/2019
17609,1,"Emslie, Steven D.  - University of North Carolina Wilmington; University of North Carolina Wilmington - Department of Biology and Marine Biology",8/4/2022
8.2020.12,28,"Schweizer, Teia  - Colorado State University; Ruegg, Kristen  - Colorado State University; Colorado State University - Department of Biology",3/13/2020
17455,1,"North Carolina Museum of Natural Sciences; Canoville, Aurore  - North Carolina Museum of Natural Sciences; Moran, Sean  - North Carolina Museum of Natural Sciences",9/17/2019
8.2021.30,2,"University of New Mexico, Albuquerque - Museum of Southwestern Biology; Andersen, Michael J.  - University of New Mexico",7/26/2021
8.2019.65,49,"Brawner, Michael  - Oregon State University; Oregon State University - Department of Integrative Biology",9/20/2019
8.2021.9,4,"Dumbacher, Jack P.  - California Academy of Sciences; California Academy of Sciences - Department of Ornithology and Mammalogy",3/30/2021
8.2019.88,5,"Chuong, Cheng-Ming  - University of Southern California; University of Southern California - Keck School of Medicine - Pathology Department",11/19/2019
8.2021.10,18,"Fleischer, Robert C.  - Smithsonian Institution; Smithsonian Institution - National Zoo and Conservation Biology Institute; Lavretsky, Philip  - University of Texas at El Paso",4/6/2021
8.2021.22,1,"Andersen, Michael J.  - University of New Mexico; University of New Mexico, Albuquerque - Museum of Southwestern Biology",6/28/2021
8.2021.25,2,"Milensky, Chris  - Smithsonian Institution; Chesser, Terry  - National Museum of Natural History; Smithsonian Institution - Division of Birds - National Museum of Natural History",7/6/2021
8.2020.58,1,"Mueller, Jochen  - Johns Hopkins University; Harvard University - John A. Paulson School of Engineering and Applied Sciences - Wyss Institute for Biologically Inspired Engineering",11/16/2020
8.2019.59,1,"Le Piane, Krista  - University of California, Riverside; Clark, Christopher J.  - University of California, Riverside; University of California, Riverside - Department of Evolution, Ecology, and Organismal Biology",8/19/2019
8.2019.75,6,"Schneider, Richard A.  - University of California, San Francisco; University of California, San Francisco - Department of Orthopaedic Surgery - School of Medicine",10/9/2019
8.2019.56,1,"Bowie, Rauri C.K.  - University of California, Berkeley; University of California, Berkeley - Museum of Vertebrate Zoology",8/6/2019
8.2019.57,1,"Bowie, Rauri C.K.  - University of California, Berkeley; University of California, Berkeley - Museum of Vertebrate Zoology",8/13/2019
8.2019.87,8,"Benham, Phred  - University of California, Berkeley; University of California, Berkeley - Museum of Vertebrate Zoology",11/8/2019
8.2021.32,23,"Brelsford, Alan  - University of California, Riverside; University of California, Riverside - Department of Evolution, Ecology, and Organismal Biology",8/11/2021
8.2020.54,5,"Biancalana, Renata  - Universidade Federal do Pará; Weckstein, Jason D.  - Drexel University; Drexel University - Academy of Natural Sciences of Drexel University - Department of Ornithology",10/14/2020
17117,2,"Occidental College - Moore Laboratory of Zoology; McCormack, John  - Occidental College",2/3/2017
17181,33,"Clarke, Julia A.  - University of Texas at Austin; The University of Texas at Austin - Jackson School of Geosciences - Department of Geological Sciences; Proffitt, James  - University of Texas at Austin",7/7/2017
17213,1,"Barker, F. Keith  - University of Minnesota; University of Minnesota - Bell Museum of Natural History",9/19/2017
8.2018.4,23,"Smith, Thomas B.  - University of California, Los Angeles; University of California, Los Angeles - Department of Ecology and Evolutionary Biology",1/11/2018
17250,2,"Cicero, Carla  - University of California, Berkeley; University of California, Berkeley - Museum of Vertebrate Zoology",1/15/2018
8.2018.21,6,"Pauli, Jonathan N.  - University of Wisconsin - Madison; Univeristy of Wisconsin - Madison - Department of Forest and Wildlife Ecology",5/8/2018
8.2018.29,24,"Gamboa, Maybellene P.  - Colorado State University; Colorado State University - Department of Biology",7/3/2018
17322,117,"Thomson, Tracy J.  - University of California, Davis; University of California, Davis",7/9/2018
17390,8,"Occidental College - Moore Laboratory of Zoology; Maley, James  - Occidental College",2/13/2019
8.2019.43,34,"Southon, John  - University of California, Irvine; University of California, Irvine - School of Physical Sciences - Earth System Science Department",5/13/2019
8.2020.13,30,"Garrett, Kimball L.",3/13/2020
8.2020.64,119,"Garrett, Kimball L.",11/23/2020
8.2021.18,0,"Garrett, Kimball L.",5/14/2021
8.2021.39,1,"Drexel University - Academy of Natural Sciences of Drexel University - Department of Ornithology; Catanach, Therese A.  - Drexel University; Weckstein, Jason D.  - Drexel University",9/7/2021
8.2021.40,23,"Drexel University - Academy of Natural Sciences of Drexel University - Department of Ornithology; Catanach, Therese A.  - Drexel University; Weckstein, Jason D.  - Drexel University",9/7/2021
8.2021.47,1,"Steadman, David  - University of Florida; Oswald, Jessica Ph.D. - University of Florida; Guralnick, Robert  - University of Florida; University of Florida - Florida Museum of Natural History - Ornithology",9/29/2021
8.2021.49,1,"Robinson, Bryce W.  - Cornell University; Lovette, Irby J.  - Cornell University; Cornell University",10/6/2021
17649,1,"Price-Waldman, Rosalyn  - Princeton University; Princeton University - Department of Ecology and Evolutionary Biology; Stoddard, Cassie  - Princeton University; Shultz, Allison  - Natural History Museums of Los Angeles County - Natural History Museum",2/3/2023
8.2018.49,1,"Burns, Kevin J.  - San Diego State University; San Diego State University - Department of Biology",11/13/2018
8.2019.92,1,"Burns, Kevin J.  - San Diego State University; San Diego State University - Department of Biology",11/25/2019
8.2019.48,1,"San Diego State University - Department of Biology; Burns, Kevin J.  - San Diego State University",6/6/2019
8.2022.8,10,"Price-Waldman, Rosalyn  - Princeton University; Stoddard, Cassie  - Princeton University; Princeton University - Department of Ecology and Evolutionary Biology",2/18/2022
8.2021.35,78,"Price-Waldman, Rosalyn  - Princeton University; Stoddard, Cassie  - Princeton University; Princeton University - Department of Ecology and Evolutionary Biology",8/25/2021
8.2022.35,7,"Burns, Kevin J.  - San Diego State University; San Diego State University - Department of Biology",8/1/2022
17369,2,"California State University, Northridge - College of Science and Mathematics - Department of Biology; Hertel, Fritz  - California State University, Northridge",12/13/2018
8.2022.37,18,"Price-Waldman, Rosalyn  - Princeton University; Stoddard, Cassie  - Princeton University; Princeton University - Department of Ecology and Evolutionary Biology",8/5/2022
17107,2,"Hertel, Fritz  - California State University, Northridge; California State University, Northridge - College of Science and Mathematics - Department of Biology",1/16/2017
17055,4,"Prassack, Kari Alyssa  - Hagerman Fossil Beds National Monument; Hagerman Fossil Beds National Monument",7/15/2016
17082,4,"Frank, Karl  - Campbell Hall Episcopal School; Campbell Hall Episcopal School",10/24/2016
17097,1,"Steadmann, David  - University of Florida; University of Florida - Florida Museum of Natural History",1/10/2017
17115,12,"Allen, Larry W.  - Los Angeles Audubon Society; Los Angeles Audubon Society",2/2/2017
8.2017.11,9,"Godinho, Raquel  - Ctm - Cibio; CIBIO, Centro de Investigacao em Biodiversidade e Recursos Geneticos",2/24/2017
17235,2,"Collins, Paul W.  - Santa Barbara Museum of Natural History; Santa Barbara Museum of Natural History",11/28/2017
17433,55,"Bates, John  - Field Museum of Natural History; Field Museum of Natural History - Division of Birds",6/17/2019
8.2021.3,1,"Field Museum of Natural History - Negaunee Integrative Research Center; Hains, Taylor  - University of Chicago; Bates, John  - Field Museum of Natural History",2/8/2021
8.2021.26,1,"Mueller, Jochen  - Johns Hopkins University; Johns Hopkins University - Department of Civil and Systems Engineering",7/1/2021
17593,9,"Huttenlocker, Adam K.  - University of Southern California; University of Southern California - Keck School of Medicine - Department of Integrative Anatomical Sciences",5/18/2022
17461,6,"Bleiweiss, Robert  - University of Wisconsin; University of Wisconsin - Zoological Museum",10/9/2019
17468,5,"Bleiweiss, Robert  - University of Wisconsin; University of Wisconsin - Zoological Museum",11/14/2019
8.2022.27,3,"McGuire, Jimmy A.  - University of California, Berkeley; University of California, Berkeley - Museum of Vertebrate Zoology",5/25/2022
8.2022.30,12,"Faircloth, Brant C.  - Louisiana State University; Louisiana State University - Department of Biological Sciences",6/22/2022
8.2021.24,2,"Beissinger, Steven R.  - University of California, Berkeley; University of California, Berkeley",
8.2021.5,8,"Bowie, Rauri C.K.  - University of California, Berkeley; University of California, Berkeley - Museum of Vertebrate Zoology",6/28/2021
8.2022.23,14,"Bates, John  - Field Museum of Natural History; Field Museum of Natural History - Negaunee Integrative Research Center",5/11/2022
8.2018.19,1,"Sheldon, Frederick  - Louisiana State University; Louisiana State University - Museum of Natural Science",5/7/2018
17384,12,"Louisiana State University - Museum of Natural Science; Marcondes, Rafael S.  - Louisiana State University; Brumfield, Robb T.  - Louisiana State University",1/28/2019
17081,8,"Remsen, Jr., J. V.  - Louisiana State University; Louisiana State University - Museum of Natural Science",10/21/2016
17116,7,"Moncrieff, Andre  - Louisiana State University; Remsen, Jr., J. V.  - Louisiana State University; Louisiana State University - Museum of Natural Science",2/2/2017
8.2022.54,6,"Pilon, Laurent  - University of California, Los Angeles; University of California, Los Angeles - Henry Samueli School of Engineering and Applied Science - Mechanical and Aerospace Engineering Department",11/16/2022
8.2019.35,6,"Lockaby, Kristina  - Natural History Museums of Los Angeles County - Natural History Museum; Natural History Museums of Los Angeles County - Natural History Museum - Exhibitions Department",
8.2022.50,56,"Cardiff, Steven W.  - Louisiana State University; Louisiana State University - Museum of Natural Science",11/1/2022
8.2022.44,45,"Shultz, Allison  - Natural History Museums of Los Angeles County - Natural History Museum; Natural History Museums of Los Angeles County - Natural History Museum - Research and Collections - Ornithology Department",10/17/2022
8.2021.8,32,"Bowie, Rauri C.K.  - University of California, Berkeley; University of California, Berkeley - Museum of Vertebrate Zoology",
4.2021.10,2,"Dardia, Charles M.  - Cornell University; Cornell University",11/1/2021
4.2021.7,6,"Flannery, Maureen  - California Academy of Sciences; California Academy of Sciences - Department of Ornithology and Mammalogy",9/29/2021
4.2021.11,14,"Marks, Ben D.  - Field Museum of Natural History; Field Museum of Natural History - Division of Birds",11/1/2021
4.2021.8,6,"Cicero, Carla  - University of California, Berkeley; University of California, Berkeley - Museum of Vertebrate Zoology",9/29/2021
4.2022.4,12,"Smithsonian Institution - Division of Birds - National Museum of Natural History; Milensky, Chris  - Smithsonian Institution",3/15/2022
4.2022.7,10,"Zyskowski, Kristof  - Yale University; Yale University - Peabody Museum of Natural History",3/16/2022
4.2022.3,4,"Cardiff, Steven W.  - Louisiana State University; Louisiana State University - Museum of Natural Science",3/15/2022
4.2022.5,51,"Rogers, Stephen P.  - Carnegie Museum of Natural History; Carnegie Museum of Natural History",3/16/2022
8.2023.2,2,"Hertel, Fritz  - California State University, Northridge; California State University, Northridge - College of Science and Mathematics - Department of Biology",
8.2023.3,13,"Louisiana State University - Museum of Natural Science; Cardiff, Steven W.  - Louisiana State University",
17651,37,"Natural History Museums of Los Angeles County - La Brea Tar Pits Museum - Research and Collections - Vertebrates; Farrell, Aisling B.  - Natural History Museums of Los Angeles County - La Brea Tar Pits Museum",2/10/2023
17616,86,"Farrell, Aisling B.  - Natural History Museums of Los Angeles County - La Brea Tar Pits Museum; Natural History Museums of Los Angeles County - La Brea Tar Pits Museum",8/29/2022
8.2023.17,10,"Conkling, Tara  - U.S. Geological Survey; U.S. Geological Survey - Department of Land, Air, and Water Resources",
17335,15,"American Museum of Natural History - Division of Vertebrate Zoology - Department of Ornithology; Cracraft, Joel L.  - American Museum of Natural History",
8.2022.33,11,"Smith, Brian T.  - American Museum of Natural History; American Museum of Natural History - Division of Vertebrate Zoology - Department of Ornithology",7/20/2022
8.2022.24,3,"University of Kansas - Biodiversity Institute and Natural History Museum; Moyle, Robert G.  - University of Kansas, Natural History Museum",5/18/2022
8.2019.63,1,"Ostrow, Emily  - University of Kansas; University of Kansas - Biodiversity Institute and Natural History Museum",9/3/2019
8.2017.25,1,"Smith, Brian T.  - American Museum of Natural History; American Museum of Natural History - Division of Vertebrate Zoology - Department of Ornithology",5/30/2017
8.2018.39,14,"Burns, Kevin J.  - San Diego State University; San Diego State University - Department of Biology",8/22/2018
8.2023.4,30,"Hertel, Fritz  - California State University, Northridge; California State University, Northridge - College of Science and Mathematics - Department of Biology",
8.2020.57,73,"Bowie, Rauri C.K.  - University of California, Berkeley; University of California, Berkeley - Museum of Vertebrate Zoology",11/9/2020
8.2023.15,800,"U.S. Geological Survey - Forest & Rangeland Ecosystem Science Center; Katzner, Todd Ph.D. - U.S. Geological Survey",
8.2023.19,15,"University of Southern California - Keck School of Medicine - Pathology Department; Chuong, Cheng-Ming  - University of Southern California",
8.2023.9,5,"Marra, Peter P.  - Georgetown University; Georgetown University - Department of Biology",2/20/2023
129,37,Los Angeles Audubon Society,
157,16,"Cheerman, H. R.  - Boy Scouts of America; Boy Scouts of America - Verdugo Hills Council",
12685,1,"Mabry, Jan  - Cornerstone Theatre Co.; Adelman, Sara  - Cornerstone Theatre Co.; Cornerstone Theatre Co.",
8.2016.16,2,"American Museum of Natural History - Division of Vertebrate Zoology - Department of Ornithology; Smith, Brian T.  - American Museum of Natural History",
L.23,2,"Cookman, Alfred",
7940,3,"California State University, Long Beach; Callison, George L.  - California State University, Long Beach",
141,1,"Hood, Mary N.  - Los Angeles Audubon Society; Los Angeles Audubon Society",
20,1,Los Angeles Metropolitan Council - Boy Scouts of America,
127,47,Boy Scouts of America - Verdugo Hills Council,
979,68,"Steadman, David  - Florida Museum of Natural History; Florida Museum of Natural History - Ornithology Department",
5817,13,"Aspby, Patt B.  - Edward Carson Beall & Associates; Edward Carson Beall & Associates",
14481,9,"University of Puget Sound - Slater Museum of Natural History; Shugart, Gary  - University of Puget Sound",
TL.2001.12.1-224,224,"Field Museum of Natural History - Division of Birds; Willard, David E.  - Field Museum of Natural History",
TL.2003.15.1-2,2,"Bostwick, Kim  - Cornell University; Cornell University",
TL.2011.9.1-6,6,"University of California, Los Angeles - Department of Ecology and Evolutionary Biology",
12783,2,"Benson, Richard  - University of Minnesota; University of Minnesota - Department of Ecology, Evolution and Behavior",
6085,1,"Anderson, Dan W.  - University of California, Davis; University of California, Davis",
8.2009.21,3,"Newsome, Seth D.  - Carnegie Geophysical Laboratory; Carnegie Geophysical Laboratory",
7945,1,"Pitman, Robert L.  - National Marine Fisheries Service; Department of Commerce - NOAA's National Marine Fisheries Service (NOAA Fisheries Service) - Southwest Fisheries Science Center",
16842,76,"Claremont Colleges - The W.M. Keck Science Center; Schmitz, Lars  - Claremont McKenna, Pitzer and Scripps College",
16837,1,"Chalfoun, Anna  - Wyoming Cooperative Fish and Wildlife Research Unit; Wyoming Cooperative Fish and Wildlife Research Unit",2/9/2015
16870,5,"Rice, Nate  - Academy of Natural Sciences; Drexel University - Academy of Natural Sciences of Drexel University - Department of Ornithology",
16871,8,"Molina, Kathy C.  - University of California, Los Angeles; University of California, Los Angeles - Department of Ecology and Evolutionary Biology",
16877,7,"Cracraft, Joel L.  - American Museum of Natural History; American Museum of Natural History - Division of Vertebrate Zoology - Department of Ornithology; Tovilla-Sierra, R.D.  - National University of Mexico",
16928,1,"National Museum of Natural History - Smithsonian Institution - Division of Birds; Chesser, Terry  - National Museum of Natural History",
15087,2,"Hertel, Fritz  - California State University, Northridge; California State University, Northridge - College of Science and Mathematics - Department of Biology",
16957,31,"Spellman, Garth  - Denver Museum of Nature and Science; Denver Museum of Nature and Science - Zoology Department",
16704,64,"Schmitz, Lars  - Claremont McKenna, Pitzer and Scripps College; Claremont Colleges - The W.M. Keck Science Center",3/11/2014
16968,5,"Demko, Alana  - University of Windsor; Hinshaw, Janet  - University of Michigan; University of Michigan - Department of Ecology and Evolutionary Biology - Museum of Zoology",12/21/2015
8.2016.8,1,"Faircloth, Brant C.  - Louisiana State University; Louisiana State University - Department of Biological Sciences",
16992,5,"University of Michigan - Department of Ecology and Evolutionary Biology - Museum of Zoology; Demko, Alana  - University of Michigan Museum of Zoology; Hinshaw, Janet  - University of Michigan",
17022,29,"Spellman, Garth  - Denver Museum of Nature and Science; Denver Museum of Nature and Science - Zoology Department",
817,1,"Pernet, Bruno  - California State University, Long Beach; Collins, Charles T.  - California State University, Long Beach; Sleeper, Elbert L.  - California State University, Long Beach",
459.1,3,"Bouwman, E.",
439.2,552,"Olson, Storrs L.  - Smithsonian Institution; Smithsonian Institution - National Museum of Natural History",
472.1,1,University of Manitoba - Department of Zoology,
479.2,1,University South Florida - Department of Biology,
457.25,89,"Raitt, Ralph  - New Mexico State University; New Mexico State University - Department of Biology",
941,60,"Ericson, Per  - Swedish Museum of Natural History; Swedish Museum of Natural History",
468.6,5,"Kiff, Lloyd F.  - Western Foundation of Vertebrate Zoology; Western Foundation of Vertebrate Zoology",
455.4,20,"Kiff, Lloyd F.  - Western Foundation of Vertebrate Zoology; Western Foundation of Vertebrate Zoology",
468.3,35,Field Museum of Natural History,
478.2,16,Brigham Young University - Department of Zoology,
478.2,16,Brigham Young University - Department of Zoology,
468.5,17,"White, Clayton M.  - Brigham Young University; Brigham Young University - Department of Zoology",
L.149,1,"Lake, Elizabeth; Maxwell, Charles A.",
444.11,63,"Whitmore, R. C.  - West Virginia University; West Virginia University - Division of Forestry",
444.25,2,"Parkes, Kenneth C.  - Carnegie Museum of Natural History; Carnegie Museum of Natural History - Section of Birds",
L.582,1,"Harvey, M. C.",
457.26,86,"Woolfenden, Glen E.  - University of South Florida; University of South Florida - Department of Biology",
532,1,University of South Florida - Department of Biology,
942,52,"Mayr, Gerald  - Forschungsinstitut Senckenberg; Senckenberg Gesellschaft für Naturforschung",
L.1675.3,6,Pacific Geographic Society,
541,13,Louisiana State University - Museum of Zoology,
440,3,"Irwin, M.P. Stuart  - National Museums and Monuments of Rhodesia; National Museums and Monuments of Rhodesia",
472.1,1,University of Manitoba - Department of Zoology,
8.2016.1,1,"Brumfield, Robb T.  - Louisiana State University; Louisiana State University - Museum of Natural Science",
16988,3,"Remsen, James V. Jr. - Louisiana State University; Louisiana State University - Museum of Natural Science; Marcondes, Raphael S.  - Louisiana State University",
14014,6,"Cardiff, Steven W.  - Louisiana State University; Louisiana State University - Museum of Natural Science; Dittmann, D.  - Louisiana State University",
8.2016.2,14,"Smith, Brian T.  - American Museum of Natural History; American Museum of Natural History - Division of Vertebrate Zoology - Department of Ornithology",
8.2016.9,17,"Peterson, A. Townsend  - University of Kansas; University of Kansas - Biodiversity Institute and Natural History Museum",
15292,22,"Pearlstein, Ellen  - University of California, Los Angeles; University of California, Los Angeles - UCLA/Getty Interdepartmental Program in the Conservation of Cultural Heritage",
TL.2009.11.1,18,"Cicero, Carla  - University of California, Berkeley; University of California, Berkeley - Museum of Vertebrate Zoology",
TL.2006.1.1-25,25,"University of California, Los Angeles - Department of Biology; Molina, Kathy C.  - University of California, Los Angeles",
TL.2010.7.1-4,4,Louisiana State University - Museum of Natural Science,3/15/2022
TL.2006.4.1-10,10,"Zyskowski, Kristof  - Yale University; Yale University - Peabody Museum of Natural History",3/16/2022
